country,iso3,year,wb_attendance_ratio,daad_female_scholarships,share_scholarships_vs_enrollment
Guatemala,GTM,2022,,,
Guyana,GUY,2022,,,
Haiti,HTI,2022,,,
Honduras,HND,2022,,,
Jamaica,JAM,2022,,,
Mexico,MEX,2022,50.2553291320801,,
Nicaragua,NIC,2022,22.3161697387695,,
Panama,PAN,2022,72.1950988769531,,
Paraguay,PRY,2022,,,
Peru,PER,2022,,,
Uruguay,URY,2022,97.5693893432617,,
Argentina,ARG,2023,,,
Belize,BLZ,2023,29.3550491333008,,
Brazil,BRA,2023,,,
Chile,CHL,2023,,,
Colombia,COL,2023,,,
Costa Rica,CRI,2023,,,
Cuba,CUB,2023,64.5313491821289,,
Dominican Republic,DOM,2023,,,
Ecuador,ECU,2023,,,
El Salvador,SLV,2023,37.1727981567383,,
Grenada,GRD,2023,,,
Guatemala,GTM,2023,30.5179500579834,,
Guyana,GUY,2023,,,
Haiti,HTI,2023,,,
Honduras,HND,2023,,,
Jamaica,JAM,2023,,,
Mexico,MEX,2023,,,
Nicaragua,NIC,2023,34.649658203125,,
Panama,PAN,2023,,,
Paraguay,PRY,2023,,,
Peru,PER,2023,,,
Uruguay,URY,2023,,,
