year,field,foreign_female_by_field
2014,Facility Management,59
2014,Automotive Technology,267
2014,Precision Engineering,9
2014,Manufacturing Technology/Production Engineering,229
2014,Film and Television Studies,202
2014,Financial Administration,4
2014,Finno-Ugrian Studies,15
2014,"Forest Science, Forestry",321
2014,French,648
2014,Horticulture,90
2014,Ed.of Deaf a.Hearing Imp. (cl.w. SF190 since 2016),14
2014,Ed.Ment.Disabl./Pract.Work(cl.w. SF190 since 2016),8
2014,Geography,576
2014,Geology/Palaeontology,91
2014,Geoecology,26
2014,Geophysics,84
2014,Geosciences general,510
2014,German Studies/German,7359
2014,Singing,348
2014,History,1419
2014,Health Education,52
2014,Health Technology,626
2014,Health Science/Health Management,1201
2014,Glass Technology/Ceramics,12
2014,Graphic Design/Communication Design,1394
2014,Greek,79
2014,Primary School Education/Primary Level Education,94
2014,Domestic and Nutritional Sciences,380
2014,Domestic Science,6
2014,Wood and Fibre Technology,19
2014,Timber Construction,2
2014,Wood Science,7
2014,Metallurgy and Foundry,124
2014,Indology,26
2014,Industrial Design/Product Design,309
2014,Computer Science,3655
2014,Inf./Library Scien. (not at univ. of app.adm.sci.),147
2014,Computational Engineer./Technical Computer Science,338
2014,Interior Architecture,327
2014,Internal Administration,49
2014,Instrumental Music,2443
2014,Interdisc. Studies (specialising in Engineering),767
2014,Interdisc. Studies (special. in Natural Sciences),425
2014,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",1086
2014,Interdisc. Studies (spec. in Humanities),2456
2014,"Interdisc. Studies (special. in Art, Art Theory)",108
2014,International Business Studies/Management,5303
2014,Iranian Studies,48
2014,Islamic Studies,354
2014,Italian,378
2014,Japanese Studies,282
2014,Jazz and Popular Music,52
2014,Judaic Studies/Hebrew,74
2014,Law Enforcement,
2014,Cartography,68
2014,"Catholic Religious Pedagogy, Church Educat. Work",11
2014,"Catholic Theology, Catholic Religious Education",187
2014,Caucasian Studies,1
2014,Nucl.Techn./Nucl.Process Techn.(cl.w.SF211 s.2020),
2014,Church Music,71
2014,Classical Philology,51
2014,"Communication Technology, Information Engineering",473
2014,Communication Science/Journalism,1273
2014,Composition,89
2014,Ed.of Physically Disabled (cl.w. SF190 since 2016),1
2014,Arts Education,343
2014,"Art History, Art Theory",1150
2014,Plastics Technology,32
2014,Land Management Engineering/Landscape Design,236
2014,Landscape Ecology/Biogeography (ex. SF385 s. 2012),35
2014,Latin,86
2014,Latin America Studies,79
2014,Food Chemistry,112
2014,Food Technology,203
2014,Ed. of P.w.Learning Diff. (cl.w. SF190 since 2016),68
2014,Area of study: Humanities,67
2014,Area of study: Social Studies,20
2014,Area of study: Natural Sciences/General Studies,34
2014,Area of study: Technology,6
2014,Aeronautical and Aerospace Engineering,134
2014,Painting,117
2014,Mine Surveying,2
2014,Mechanical Engineering,2682
2014,Math.Statistics/Prob.Calc. (class.w. SF312 s.2020),188
2014,Mathematics,2295
2014,Mechatronics,308
2014,Media Informatics,583
2014,Media Technology,174
2014,Media Economics/Media Management,389
2014,Media Science,920
2014,Medicine (General Medicine),5582
2014,Medical Informatics,305
2014,Metals Technology,6
2014,Meteorology,83
2014,Microelectronics,34
2014,Microsystems Technology,180
2014,Dairy Farming,10
2014,Mineralogy,19
2014,Medieval and Modern History,60
2014,Music Education,467
2014,Musicology/History of Music,534
2014,Nature Conservation,150
2014,Nautical Science/Maritime Studies,10
2014,New Media,162
2014,Modern Greek,45
2014,Non-medical Healthcare Professions/Therapies,780
2014,Low German,1
2014,Dutch,34
2014,"Nordic/Scand. St. (Nord. Phil., ind. lang. n.e.c.)",95
2014,Optoelectronics,36
2014,Orchestral Music,557
2014,"Oriental Studies, Ancient Oriental Studies",211
2014,Eastern and South Eastern Europe Studies,137
2014,Oceanography,7
2014,Early Childhood Education,69
2014,Plant Production,10
2014,Nursing Science/Nursing Management,324
2014,Pharmacy,1279
2014,Philosophy,923
2014,Physics,1601
2014,Engineering Physics/Mechanical Process Engineering,171
2014,Political Science,2481
2014,Police/Protection of the Constitution,18
2014,Polish,42
2014,Portuguese,41
